Name,Free App Analytics,Attribution & Analytics,UAP,AppsFlyer,adjust,TUNE,Singular,,,,,,,
"Modeling (Lookalike, Churn, TV Lift, etc)",Per Model,Per Model,Per Model,-,-,,Lift & revenue,,,,,,,
FRAUD PREVENTION & DETECTION,,,,,,,,,,,,,,
Fraud Dashboard,,x,x,x,x,x,-,,Fraud Prevention,Active Fraud Insights,Dashboard,Fraud Reports,,
Real-time Fraud Abatement,,x,x,x,x,x,x,,"No visualization.
Free Fraud basic service (install verifcation, IAP verification, IP blacklist)
",Fraud Abatement,Fraud Callbacks,Fraud Rules,,
Account Curated Blacklist,,x,x,-,-,-,-,,,,,,,
Fraud Audit,,x,x,-,x,-,-,,,,,,,
Fraud Console for Networks,,x,x,-,-,-,-,,,,,,,
Install Verification (iOS only),,x,x,x,x,x,x,,,,,Install Validation,,
In-App Receipt Verification,,x,x,x,x,x,x,,,,Purchase Verification,IAP Verification,,
Fraud Type Detection/Algorithyms,,,12+,,,,,,,,Fraud,,,
Incentivized Injection Installs (MTTI),,-,Reject,Detect,Reject,Detect,-,,,,Fraud Callbacks,,,
Install from Fraud IPs,,-,Reject,Reject,-,Detect,Detect,,,,,,,
Install from Fake Device IDs,,-,Reject,Reject,Reject,-,-,,,Device Rank,,,,
Ad Stacking Clicks,,-,Reject,-,-,-,-,,,,,,,
Click Spamming/Flooding*,,-,Reject,Reject,Reject,Detect,-,,,,,,,
Platform Click/Install Mismatch,,-,Detect,Reject,-,Reject,,,,,,,,
Anonymous Installs,,-,Reject,-,Reject,-,,,,,,,,
Geographic Outliers,,-,Reject,Reject,-,Reject,,,,,,,,
High Click Volume Devices,,-,Reject,-,-,-,,,,,,,,
High Click Volume IP Addresses,,-,Reject,-,-,-,,,,,,,,
Mean-Time-to-Install Outliers,,-,Reject,-,-,Detect,,,,,,,,
Time-to-Install Outliers,,-,Reject,Reject,-,Detect,,,,,,,,
Time-to-Install Distribution*,,-,Reject,Reject,-,Detect,,,,,,,,
Non-Verified Install Receipts,,-,Reject,Reject,Reject,Reject,,,,,,,,
Non-Verified Purchase Receipts,,-,Reject,Reject,Reject,Reject,Reject,,,Fraud Dashboard,,,,
Multi-Hash Attribution Matches,,-,Reject,-,-,,,,,,,,,
New Device %*,,-,Reject,Detect,Reject,-,,,,,,,,
Non Playstore Installs,,-,-,,-,,,,,,,,,
OTHER FACTORS,,,,,,,,,,,,,,
Data Privacy Certification,,,,x,x,x,x,,SOC-2 certified facility,Data Privacy,Compliance,,,
Server Uptime,,,"SLA is 99.9998%
2015-2017 100%",x,Dropped to 99.9% from 99.97%,,,,,,Server Uptime,,,
Dedication Account Management,support ticket,Dedicated,Dedicated,No (7 day SLA).  Yes for Premium/enterprise,"Business Pro
Enterprise",,Dedicated,,,,,,,
API Data Quering,,,,,No restrictions,restrictions,restrictions,,API restrictions,,,,,
iOS 10.3 Security issue ,,x,*x,x,x,-,,,,,iOS 10.3,,,
MTA Probabilistic (location & device),,,-,-,-,-,-,,,,,,,
A/B testing for App Store Creative,,,,"3rd party integration w/ ""TheTool""",-,x,x,,,,,AB Testing,,
Custom Dashboards,,,,No,-,,-,,,,,,,
Hero Feature,,,Traffic Verifier & Collective,Uninstall Tracking & Pivot Reports,Audience Builder & Campaign Wizard,Unlimited Data Storage,Data Aggregation into Single dashboard,,,,Campaign Wizard,,,
Pricing,,,,".03 install enterprise
.06 install business pro
.08 install business
.09 Install basic",".03 install enterprise
.06 install business pro
.08 install business
.09 Install basic","Clicks
Impression",,,,Pricing,Pricing,Pricing,,
CAPITAL RAISED,,,,83M,"Total 28.9M
 (last 17M Oct 2015)",36.4,22M total;,,"Does not include unknow $$ in Singular Acquisition 
22M total;
Nov 2015 - 8M
Aug 2013 - 9M
Sep 2011 - 5M","http://fortune.com/2017/01/17/appsflyer-funding/
""83M total;
Jan 2017 - 56M
Jan 2015 - 20M
Mar 2014 - 7.1M""",,"Dec 2014 27M
May 2013  9.4M",,
Product Releases,,,,,,,,,,Product Releases,,Product Releases,,
,,,,,,,,,,,,,,
Blue Cell indicates recent product change ,,,,,,,,,,,,,,
